Election year,Candidate,Committee Id
2016,Hillary Clinton,C00575795
2016,Donald Trump,C00580100
2012,Barack Obama,C00431445
2012,Mitt Romney,C00431171
2008,Barack Obama,C00431445
2008,John McCain,C00430470
2008,John McCain,C00446104
2008,John McCain,C00453928
2004,John Kerry,C00404160
2004,John Kerry,C00385070
2004,John Kerry,C00383653
2004,George W. Bush,C00404343
2004,George W. Bush,C00388579
2004,George W. Bush,C00386987
2000,Al Gore,C00342212
2000,Al Gore,C00342204
2000,George W. Bush,C00343509
2000,George W. Bush,C00346932
2000,George W. Bush,C00360503
1996,Bill Clinton,C00321414
1996,Bill Clinton,C00305938
1996,Bill Clinton,C00302265
1996,Bob Dole,C00317743
1996,Bob Dole,C00213850
1996,Bob Dole,C00301077
1996,Bob Dole,C00300608
1992,Bill Clinton,C00272161
1992,Bill Clinton,C00268722
1992,Bill Clinton,C00253690
1992,George H. W. Bush,C00273516
1992,George H. W. Bush,C00255380
1992,George H. W. Bush,C00254912
1988,George H. W. Bush,C00273516
1988,George H. W. Bush,C00255380
1988,George H. W. Bush,C00254912
1988,George H. W. Bush,C00226282
1988,George H. W. Bush,C00214478
1988,George H. W. Bush,C00213538
1988,Michael Dukakis,C00228957
1988,Michael Dukakis,C00227629
1988,Michael Dukakis,C00214213
1988,Michael Dukakis,C00214312
1984,Walter Mondale,C00186296
1984,Walter Mondale,C00189886
1984,Walter Mondale,C00186304
1984,Walter Mondale,C00164608
1984,Ronald Reagan,C00186312
1984,Ronald Reagan,C00173112
1984,Ronald Reagan,C00171140
1984,Ronald Reagan,C00129007
1984,Ronald Reagan,C00128991
1984,Ronald Reagan,C00108308
1980,Jimmy Carter,C00129445
1980,Jimmy Carter,C00108407
1980,Ronald Reagan,C00129007
1980,Ronald Reagan,C00128991
2020,Bernie Sanders,C00696948
2020,Elizabeth Warren,C00693234
2020,Pete Buttigieg,C00697441
2020,Tom Steyer,C00711614
2020,Joe Biden,C00703975
2020,Kamala Harrris,C00694455
2020,John Delaney,C00508416
2020,Cory Booker,C00695510
2020,Amy Klobuchar,C00696419
2020,Beto O'Rourke,C00699090
2020,Kirsten Gillibrand,C00694018
2020,Andrew Yang,C00659938
2020,Tulsi Gabbard,C00693713
2020,Julian Castro,C00693044
2020,Jay Inslee,C00698050
2020,Marianne Williamson,C00696054
2020,Michael Bennet,C00705186
2020,Steve Bullock,C00706416
2020,John Hickenlooper,C00698258
2020,Eric Swalwell,C00701698
2020,Seth Moulton,C00704510
2020,Bill de Blasio,C00706697
2020,Tim Ryan,C00701979
2020,Henry Hewes,C00697227
2020,Joe Sestak,C00710574
2020,Mike Gravel,C00700609
2020,Wayne Messam,C00699280
2020,Richard Ojeda,C00691444
2020,Donald Trump,C00580100
2020,Rocky de la Fuente,C00588426
2020,Joe Collins,C00634030
2020,Joe Walsh,C00717033
2020,Adam Kokesh,C00662197
2020,Samm Tittle,C00495069
2020,Vermin Supreme,C00706598
2020,Howie Hawkins,C00708024
